propertyCode,address,district,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift,idCity,distanceBeach,internet,zonaTranquila,distanceCoworking,safety,score,available,thumbnail
94368422,Calle dels Plàtans,Benicalap,Benicalap,39.49125,-0.3901243,2496,1,800,flat,65,True,2,1,good,False,1,5657,241,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/6e/ca/886993566.jpg
94171453,Calle Salamanca,L'Eixample,Gran Vía,39.4658766,-0.3634504,1319,1,1200,flat,86,True,2,1,good,True,1,3854,211,True,3000,3,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/d5/44/881756980.jpg
93060022,dr. gil y morte,Extramurs,Arrancapins,39.4607299,-0.3812152,1205,5,900,flat,95,True,3,1,good,True,1,5465,165,True,3000,3,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5e/b2/bf/853566807.jpg
91757251,Avenida del Cardenal Benlloch,Camins al Grau,Albors,39.4674121,-0.3561272,1858,1,650,studio,50,True,0,1,good,True,1,3232,175,False,3000,3,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/d2/f2/822537764.jpg
95710885,SAN PANCRACIO,La Saïdia,Marxalenes,39.4892505,-0.3871926,2189,3,500,flat,55,True,2,1,good,True,1,5378,214,False,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/77/cd/926104212.jpg
95689617,Calle d'Olimpia Arozena Torres,L'Olivereta,Nou Moles,39.4704054,-0.3945323,1486,2,750,flat,92,True,2,1,good,False,1,6154,184,False,3000,4,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/17/0b/925577886.jpg
95648040,arxiduc cares,Patraix,Patraix,39.4612043,-0.3983111,2118,5,700,flat,100,True,3,1,good,True,1,6777,192,False,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/04/e4/f6/924294187.jpg
93742634,Calle de Pere Cabanes,Rascanya,Torrefiel,39.496265,-0.3782343999999999,2796,2,600,flat,85,True,2,1,good,True,1,4782,200,False,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/dc/37/870680331.jpg
95599614,Avenida d'Ausiàs March,Quatre Carreres,En Corts,39.4517389,-0.3710209,2220,7,870,flat,100,True,4,1,good,True,1,5319,198,True,3000,4,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/75/b6/922986331.jpg
95456971,barrio El Carme,Ciutat Vella,El Carme,39.480181,-0.3818360999999999,1081,0,1200,flat,78,True,2,2,good,False,1,4899,194,True,3000,3,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9a/c6/63/918870881.jpg
95404179,Paseo Alameda,Camins al Grau,Penya-Roja,39.4547712,-0.3417179999999999,3549,3,750,flat,75,True,1,1,good,True,1,3526,158,False,3000,1,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a6/a5/97/917449807.jpg
95398423,barrio El Grau,Poblats Marítims,El Grau,39.4622263,-0.3366247,3623,1,1400,flat,95,False,3,1,good,False,1,2591,224,False,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6d/df/b6/920637811.jpg
95277577,SANTA GENOVEVA,Rascanya,Sant Llorenç,39.4953131,-0.3597223,3081,7,1150,flat,100,True,3,2,good,True,1,3251,218,False,3000,2,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/81/fb/914097577.jpg
86766354,Plaza Regino Mas,Benicalap,Ciutat Fallera,39.4997612,-0.3920337,3428,0,390,studio,35,False,0,1,good,False,1,6028,231,True,3000,1,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/00/20/46/702290191.jpg
87118786,Calle Doctor Gil y Morte,Extramurs,Arrancapins,39.4607363,-0.3793229999999999,1168,5,900,flat,100,True,3,1,good,True,1,5321,165,False,3000,3,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a3/8f/ba/711982297.jpg
95211070,Calle de Tramoyeres,Poblats Marítims,El Cabanyal-El Canyamelar,39.4722354,-0.3325302,3839,2,600,flat,73,True,3,1,good,False,1,1432,159,True,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/66/21/b7/899552105.jpg
94768131,barrio El Carme,Ciutat Vella,El Carme,39.477783,-0.3803189999999999,786,1,970,flat,70,True,2,1,good,False,1,4798,139,True,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7a/c8/42/898177805.jpg
93574727,Calle de Bailèn,Extramurs,La Roqueta,39.4671168,-0.3783729999999999,455,1,1100,flat,85,True,3,2,good,True,1,4944,111,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/6c/78/58/866549094.jpg
89877684,Calle de Xàtiva,Extramurs,La Roqueta,39.4681629,-0.3795829,385,5,750,flat,70,True,1,1,good,True,1,4999,175,False,3000,4,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/4b/33/778479619.jpg
89415567,Avenida de Jesús Morante Borrás,Quatre Carreres,La Punta,39.4391207,-0.3431784,4605,1,500,flat,30,True,1,1,good,False,1,5200,359,False,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/57/db/7b/770898219.jpg
95735611,barrio Nou Moles,L'Olivereta,Nou Moles,39.4744287,-0.4040007,2326,2,750,flat,90,False,3,2,good,True,1,6864,164,False,3000,4,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/21/84/11/926750102.jpg
95617927,barrio Torrefiel,Rascanya,Torrefiel,39.493265,-0.3772343999999999,2461,2,600,flat,85,False,2,1,good,True,1,4612,188,False,3000,1,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/be/96/42/923499403.jpg
95717198,barrio La Petxina,Extramurs,La Petxina,39.4704437,-0.3912637,1206,2,720,flat,85,False,3,1,good,False,1,5881,184,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/13/33/926273941.jpg
95717211,barrio Trinitat,La Saïdia,Trinitat,39.4804742,-0.3723095999999999,1122,2,900,flat,85,False,3,1,good,True,1,4081,249,True,3000,2,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/c4/ab/926273836.jpg
95705803,barrio Patraix,Patraix,Patraix,39.4658043,-0.3908419999999999,1308,1,750,flat,80,False,3,1,good,True,1,5997,225,False,3000,2,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/13/cf/925993508.jpg
95705802,barrio Sant Francesc,Ciutat Vella,Sant Francesc,39.4692927,-0.3788459999999999,245,9,900,flat,75,True,1,1,good,True,1,4897,111,False,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3a/a0/e6/925993373.jpg
95653676,barrio Exposició,El Pla del Real,Exposició,39.4745016,-0.365795,1051,2,900,flat,52,True,1,1,good,True,1,3653,144,False,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/33/2e/74/924451546.jpg
95653364,barrio Exposició,El Pla del Real,Exposició,39.4757016,-0.364695,1190,2,900,flat,52,True,1,1,good,True,1,3526,144,False,3000,4,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/35/62/7a/924443602.jpg
95624988,barrio L'Amistat,Algirós,L'Amistat,39.4702043,-0.3493559,2395,5,800,flat,100,False,3,2,good,True,1,2578,231,False,3000,3,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3f/ee/61/923684597.jpg
95590332,barrio En Corts,Quatre Carreres,En Corts,39.4548389,-0.3720209,1865,7,950,flat,100,False,4,1,good,True,1,5162,165,True,3000,1,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/83/cf/922704653.jpg
95590314,barrio Russafa,L'Eixample,Russafa,39.4630977,-0.3688888999999999,1144,2,800,flat,85,False,2,2,good,True,1,4414,154,False,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/37/7b/2d/922704406.jpg
1555884,barrio Torrefiel,Rascanya,Torrefiel,39.4900451,-0.3774668,2104,2,560,flat,70,True,1,1,good,False,1,4562,225,True,3000,1,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/d9/ed/12219905.jpg
95430075,"Calle del Doctor Carlos Caballé Lancry, 9",Quatre Carreres,Malilla,39.4535783,-0.3796528999999999,1961,6,700,flat,94,False,3,2,good,True,1,5770,232,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/fd/c8/918147956.jpg
95318646,"Calle Cardenal Benlloch, 37",El Pla del Real,Mestalla,39.4692199,-0.3557687,1854,6,850,flat,65,True,1,1,good,True,1,3098,175,False,3000,4,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/29/b5/915163673.jpg
95215458,barrio La Roqueta,Extramurs,La Roqueta,39.4681421,-0.3828480999999999,584,3,850,flat,59,False,1,1,good,True,1,5263,175,False,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/eb/2b/2a/912310891.jpg
94582188,barrio El Mercat,Ciutat Vella,El Mercat,39.4759386,-0.3797914,578,4,1350,penthouse,65,True,2,1,good,True,1,4786,139,True,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/68/1f/9e/892570405.jpg
95676638,barrio L'Illa Perduda,Algirós,L'Illa Perduda,39.4726831,-0.3391613,3272,4,750,flat,80,True,2,1,good,True,1,1729,186,True,3000,4,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/4f/84/925116211.jpg
95674660,barrio Penya-Roja,Camins al Grau,Penya-Roja,39.4658547,-0.3548304,2010,6,600,studio,45,True,0,1,good,True,1,3244,158,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/16/07/925065553.jpg
95539870,barrio La Roqueta,Extramurs,La Roqueta,39.4681466,-0.3780541,338,3,600,studio,46,True,0,1,good,True,1,4876,111,False,3000,3,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b2/21/00/921299202.jpg
95636293,barrio La Creu del Grau,Camins al Grau,La Creu del Grau,39.4637045,-0.3422118999999999,3117,4,750,flat,100,True,3,2,good,True,1,2673,172,True,3000,4,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/e0/9f/923976097.jpg
95524837,barrio La Raiosa,Jesús,La Raiosa,39.4568918,-0.3828759,1654,3,600,flat,65,True,2,1,good,False,1,5799,232,False,3000,2,3,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c7/12/c3/920879593.jpg
95172859,barrio Nou Moles,L'Olivereta,Nou Moles,39.4696007,-0.3938897,1439,2,750,flat,92,False,3,1,good,False,1,6123,205,True,3000,2,4,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/11/fb/4e/908055830.jpg
95227676,Calle Salamanca,L'Eixample,Gran Vía,39.4677766,-0.3627504,1297,2,800,flat,65,True,2,1,good,True,1,3697,172,False,3000,1,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ed/01/0c/912811471.jpg
95216058,Calle Salamanca,L'Eixample,Gran Vía,39.4663766,-0.3638503999999999,1264,3,930,flat,45,True,1,1,good,True,1,3856,172,False,3000,3,2,True,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/30/90/912334104.jpg
