propertyCode,distanceCoworking
92519072,1127
91027303,3225
90762550,4344
1143240,559
95169398,759
91676810,219
39211576,1507
95407522,3016
92848706,2106
95109844,1454
95672746,2222
88078928,2126
95640195,2231
95639968,2375
93263673,1066
95172865,2129
86824323,4060
94239585,1570
92101193,1682
95680003,4222
95608373,1764
95553397,2791
95553541,2496
95647504,2270
95646801,3175
95613580,380
90494996,1914
95581689,1264
95531142,2296
88431938,549
91877929,2266
87294908,1183
95689572,1068
95689457,895
87855198,492
95403400,3114
95339108,1263
90081493,1467
94688735,2450
93577010,3278
93394281,2787
38298198,4623
89743565,2349
95597396,3248
95133844,1943
95575616,2051
95616679,1218
95421818,3011
83958004,2585
95403027,2106
95243601,2545
95211091,1492
95159940,2390
95000667,2361
94596939,2333
91533658,2004
94374788,1938
25917835,692
90937118,2525
92231910,4336
86355240,503
89878966,837
95368050,3294
94396615,1398
92686769,1684
87121222,255
95244598,2870
95634834,4493
95639698,1735
95594401,2052
87604045,967
82613523,984
94037248,2622
92533233,2504
90047304,250
88420389,978
82991318,2302
95665105,2046
95633384,984
95499426,3025
83859164,1541
95618049,865
95505945,2347
91897845,2912
34050597,1059
95751810,2677
95750892,2670
95718158,3253
95739376,695
95736078,3836
95427928,1416
95277225,3946
95277187,578
95152110,2486
94685003,2482
93665550,243
93429621,913
92569870,727
92559152,602
92524565,358
92521503,702
92521502,579
91498472,1286
95736213,1301
95684969,272
95602068,3375
95584110,2877
95433789,578
94959222,1056
95740252,2740
94837276,1909
88658172,2863
84536620,1955
94460381,2472
95617690,2597
95610662,1445
95583999,934
95751580,2876
95754405,2234
95310016,547
95726085,2259
95705376,258
84352094,3946
95599276,447
95587846,3344
95216188,1569
92893680,389
95728547,381
95718919,1812
95712576,1104
30582993,1989
95642289,1878
39533665,1797
95295643,565
95211354,437
85743675,2863
95106491,980
95116036,1073
94829287,1660
94812083,1211
94715697,2217
94750930,461
94598247,606
94468760,592
85319307,1095
91921281,3436
91551571,245
95561475,1477
95498111,4391
94416967,1190
95755363,1317
95706953,3205
95710259,2362
89338358,2563
95666725,3028
94757195,3684
95604434,2483
95548349,2815
95423152,2204
95283865,2888
95253265,3760
95225106,646
89141754,1060
95662123,1606
95759556,655
95751108,3689
95712867,1761
95707828,3708
81867487,1950
95607839,328
95385757,709
95260490,348
94822120,1189
91541504,213
91496279,535
91479973,375
91455482,636
91090589,155
89097406,2585
88918792,2214
85320130,405
95696646,1229
95659463,3164
95619212,2078
83354430,424
95573229,3372
95754313,1290
95753427,271
90908340,1160
95725144,3930
95706407,1308
95648047,415
95640121,1070
91254837,3289
85943640,682
95619325,1294
93741208,3462
81903840,2765
86821012,2343
95244012,3242
94947039,2539
95740192,3729
95722100,4421
95439429,3016
95426099,2732
95426098,2225
95426094,2267
95426068,2261
95399144,3702
88166168,1758
94605689,4077
95220775,2555
95173906,2962
95149043,2411
95058116,3652
95015619,3910
94938636,3027
94911170,2798
94826766,3141
93512228,3055
93512206,2989
94616782,1107
94459805,2234
94129521,3460
94101806,1848
95261689,1862
93414300,974
93068807,1179
93068699,1179
89710149,1136
89707000,1136
89706317,1136
89705355,1136
88425744,1136
88425561,1136
84116278,381
89056905,1968
28563137,643
88618780,3325
95730064,2394
91895518,846
95706062,1685
95703884,2333
91830583,843
91336053,2354
82556790,3011
34909131,545
95754233,1760
95742530,2450
95738756,1183
95734527,1192
95724185,2138
95724033,3388
95722194,3854
95573089,781
95540646,1863
95463465,532
94952253,729
94804810,2853
94124780,4202
93682762,1384
93385526,673
92227951,382
91009334,50
92070668,77
90491639,105
90368221,1002
90323746,1042
89938334,3529
89096789,365
88497367,389
85319686,967
95688189,1116
95652778,3329
95589192,2024
95542158,2935
95754483,736
95751757,624
95748299,4398
95690403,2543
95687795,2636
95643395,994
95600245,3703
28283098,1947
95466189,445
95383939,1338
95312739,863
95287384,1043
95200211,234
95049184,3515
94595741,680
94595725,1327
93863587,1408
91757359,201
91491564,95
91099077,966
88892608,350
95728704,4257
95696049,1471
91649932,1605
95632648,492
95588544,1714
95586600,1838
95557422,306
95736412,2868
95757403,1424
95727907,3191
95703633,892
81303138,2112
92815582,3393
92811759,3494
95713362,2007
94745053,1048
95496451,1757
95029420,826
94772932,2161
95705805,3277
87546607,2135
95689716,2046
95657014,1143
95643118,1218
95606332,1917
95500568,2342
95514225,2765
95295261,296
94760617,1833
94606098,4152
94044303,2024
95741725,1905
93592593,3231
29359997,666
95718805,3987
95658681,2826
95633445,1603
95633225,1057
89233451,1011
95546337,2761
90603778,3219
90853865,941
94244607,2499
92438581,3956
94750800,2255
95606550,2434
95595073,537
95586942,1507
95543449,537
95534977,3204
95406717,1767
90295626,218
95333382,2024
95255561,1200
94811135,708
