OID_;propertyCode;avg_d_kbps;avg_u_kbps
707;85506065;136865;121366
708;95697691;205245;157976
709;95684106;184069;140924
710;95180937;217680;163373
711;95615940;192392;156624
712;95606452;211772;162125
713;95559961;217004;166414
714;95198643;217680;163373
715;94972047;257302;168351
716;93983331;175431;131081
717;27659210;146760;128405
718;33323977;153803;135643
719;95721162;205245;157976
720;95720554;193476;152530
721;95620063;161218;133320
722;95587358;281649;214034
723;95484137;202720;160126
724;95404354;153863;124068
725;95401233;194190;169942
726;92427117;233803;161987
727;94779563;162458;125231
728;84854034;171344;151598
729;93662471;174620;130372
730;90879026;224509;197692
731;93236162;136865;121366
732;91073764;210799;136214
733;88021299;163654;111478
734;40047678;144806;120310
735;91283517;224509;197692
736;94313960;250161;223406
737;90704182;136865;121366
738;86498576;136865;121366
739;95481091;230546;154476
740;95261297;204011;165854
741;95196772;233803;161987
742;95694117;185943;144533
743;95689722;139302;123231
744;86991268;215022;162452
745;95616911;157707;138799
746;95582859;121951;99378
747;95569433;194247;148438
748;95527408;139325;121662
749;95519062;352425;322900
750;95388486;257302;168351
751;95199443;185943;144533
752;95135663;211772;162125
753;95093194;210662;148166
754;95015431;146760;128405
755;92780060;209951;199592
756;92519072;187085;126346
757;91027303;223844;163182
758;90762550;209951;199592
759;1143240;175431;131081
760;95169398;175431;131081
761;91676810;121951;99378
762;39211576;205245;157976
763;95407522;176322;164533
764;92848706;186431;137181
765;95109844;205245;157976
766;95672746;173896;128253
767;88078928;197701;164489
768;95640195;230546;154476
769;95639968;198610;170636
770;93263673;189025;140689
771;95172865;213080;163989
772;86824323;162458;125231
773;94239585;169876;117008
774;92101193;232177;148718
775;95680003;209951;199592
776;95608373;218317;140350
777;95553397;175546;126378
778;95553541;185943;144533
779;95647504;257302;168351
780;95646801;233803;161987
781;95613580;121951;99378
782;90494996;222097;160916
783;95581689;205245;157976
784;95531142;213562;159215
785;88431938;161218;133320
786;91877929;197701;164489
787;87294908;165247;127703
788;95689572;187085;126346
789;95689457;153863;124068
790;87855198;175431;131081
791;95403400;224754;122365
792;95339108;202185;154838
793;90081493;218317;140350
794;94688735;253272;198554
795;93577010;158392;114125
796;93394281;198610;170636
797;38298198;210357;176482
798;89743565;250171;204394
799;95597396;223844;163182
800;95133844;224509;197692
801;95575616;171774;135241
802;95616679;249382;189702
803;95421818;225319;156737
804;83958004;242422;213850
805;95403027;211772;162125
806;95243601;195981;151312
807;95211091;205684;131476
808;95159940;240785;184204
809;95000667;185943;144533
810;94596939;257302;168351
811;91533658;211286;162765
812;94374788;211286;162765
813;25917835;175431;131081
814;90937118;173896;128253
815;92231910;199864;223730
816;86355240;175431;131081
817;89878966;136865;121366
818;95368050;182475;133296
819;94396615;189083;137214
820;92686769;165312;124423
821;87121222;121951;99378
822;95244598;200243;126433
823;95634834;199864;223730
824;95639698;204011;165854
825;95594401;188100;153880
826;87604045;210662;148166
827;82613523;210662;148166
828;94037248;242908;203202
829;92533233;242908;203202
830;90047304;121951;99378
831;88420389;153863;124068
832;82991318;171344;151598
833;95665105;241637;180676
834;95633384;125641;122257
835;95499426;225319;156737
836;83859164;192629;146979
837;95618049;139325;121662
838;95505945;198610;170636
839;91897845;200243;126433
840;34050597;134633;107507
841;95751810;172362;145622
842;95750892;172362;145622
843;95718158;155319;118234
844;95739376;161218;133320
845;95736078;158928;134059
846;95427928;184069;140924
847;95277225;158928;134059
848;95277187;136865;121366
849;95152110;233734;223953
850;94685003;153136;123040
851;93665550;121951;99378
852;93429621;182093;149480
853;92569870;210662;148166
854;92559152;175431;131081
855;92524565;110867;101976
856;92521503;210662;148166
857;92521502;175431;131081
858;91498472;192629;146979
859;95736213;214757;181489
860;95684969;121951;99378
861;95602068;157707;138799
862;95584110;217680;163373
863;95433789;144806;120310
864;94959222;214757;181489
865;95740252;192039;177069
866;94837276;202720;160126
867;88658172;182179;136402
868;84536620;211772;162125
869;94460381;173896;128253
870;95617690;173896;128253
871;95610662;170403;131781
872;95583999;144806;120310
873;95751580;185508;114934
874;95754405;171344;151598
875;95310016;175431;131081
876;95726085;185943;144533
877;95705376;110867;101976
878;84352094;128004;109403
879;95599276;136865;121366
880;95587846;289252;272599
881;95216188;182989;145859
882;92893680;110867;101976
883;95728547;121951;99378
884;95718919;205684;131476
885;95712576;144479;72811
886;30582993;157560;100962
887;95642289;157560;100962
888;39533665;205684;131476
889;95295643;161218;133320
890;95211354;146760;128405
891;85743675;242422;213850
892;95106491;214757;181489
893;95116036;214757;181489
894;94829287;222097;160916
895;94812083;182093;149480
896;94715697;186431;137181
897;94750930;146760;128405
898;94598247;146760;128405
899;94468760;136865;121366
900;85319307;189025;140689
901;91921281;182475;133296
902;91551571;121951;99378
903;95561475;138244;96127
904;95498111;199864;223730
905;94416967;194190;169942
906;95755363;144479;72811
907;95706953;194247;148438
908;95710259;216907;149969
909;89338358;250171;204394
910;95666725;192039;177069
911;94757195;153085;157151
912;95604434;250171;204394
913;95548349;233803;161987
914;95423152;253272;198554
915;95283865;225319;156737
916;95253265;153603;175411
917;95225106;139325;121662
918;89141754;139325;121662
919;95662123;215081;150368
920;95759556;161218;133320
921;95751108;158928;134059
922;95712867;182989;145859
923;95707828;118802;57250
924;81867487;204011;165854
925;95607839;121951;99378
926;95385757;171902;129786
927;95260490;139302;123231
928;94822120;189025;140689
929;91541504;121951;99378
930;91496279;136865;121366
931;91479973;121951;99378
932;91455482;136865;121366
933;91090589;110867;101976
934;89097406;153803;135643
935;88918792;230546;154476
