propertyCode,address,province,municipality,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift
95659700,barrio El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4615679,-0.33252729999999997,3982,1,1000,flat,90,True,2,1,good,0.0
95654534,barrio Malilla,València,València,Quatre Carreres,es,Malilla,39.4572386,-0.3743315,1563,2,950,flat,94,True,2,2,good,1.0
95614955,barrio La Seu,València,València,Ciutat Vella,es,La Seu,39.4769104,-0.3774864,643,4,800,flat,38,True,1,1,good,0.0
95568845,barrio En Corts,València,València,Quatre Carreres,es,En Corts,39.457772,-0.3709637,1579,2,1000,penthouse,60,True,1,2,good,0.0
95568276,barrio La Petxina,València,València,Extramurs,es,La Petxina,39.4701091,-0.3912613,1209,6,1200,flat,65,True,1,1,good,1.0
95543183,Calle Periodista Badía,València,València,El Pla del Real,es,Exposició,39.4786152,-0.3631532,1468,1,800,flat,80,True,2,1,good,1.0
95525691,Calle de la Reina,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4717998,-0.32926859999999997,4117,2,790,flat,67,True,3,1,good,0.0
95760185,barrio Ciutat Fallera,València,València,Benicalap,es,Ciutat Fallera,39.4983628,-0.3956766,3417,2,750,flat,90,False,4,2,good,1.0
93170044,Avenida Real de Madrid,València,La Torre,,es,,39.430738,-0.3927865,4684,1,500,flat,85,True,2,1,good,1.0
95715217,barrio Penya-Roja,València,València,Camins al Grau,es,Penya-Roja,39.4650684,-0.3587439,1724,2,660,flat,63,True,2,1,good,1.0
95207292,Calle Escultor José Capuz,València,València,Quatre Carreres,es,Mont-Olivet,39.4597598,-0.3633655,1736,4,970,flat,100,True,2,2,good,1.0
89289756,Calle de la Sénia,València,València,Ciutat Vella,es,El Mercat,39.4737849,-0.3774036,296,1,1929,flat,67,False,2,2,good,0.0
95720720,Calle de Trinitarios,València,València,Ciutat Vella,es,La Xerea,39.4756305,-0.37016879999999996,786,2,1100,flat,100,True,2,2,good,1.0
95733267,"Gran Vía del Marqués del Turia, 4",València,València,L'Eixample,es,Gran Vía,39.4651604,-0.37247369999999996,778,1,800,flat,70,True,1,1,good,1.0
95732381,Calle Molinell,València,València,La Saïdia,es,Trinitat,39.4834675,-0.3695198,1524,3,650,flat,88,True,3,1,good,1.0
95694356,"Calle Santiago Rusiñol, 26",València,València,Rascanya,es,Els Orriols,39.4952037,-0.36663389999999996,2827,3,800,flat,85,True,3,1,good,1.0
34117979,"Avenida del doctor waksman, 35",València,València,Quatre Carreres,es,En Corts,39.4562873,-0.3717512,1715,10,800,flat,87,True,3,2,good,1.0
91980532,Sedavi,València,Sedavi,,es,,39.42674,-0.38488000000000006,4978,1,600,flat,88,False,2,2,good,1.0
35017601,"Avenida jacinto benavente, 5",València,València,L'Eixample,es,Gran Vía,39.4680537,-0.36396799999999996,1188,4,1150,flat,89,True,2,2,good,1.0
95596194,Calle de la Reina,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4701981,-0.3298587,4067,2,790,flat,70,True,3,1,good,0.0
95593845,Calle de Colón,València,València,L'Eixample,es,El Pla del Remei,39.46955,-0.36787000000000003,822,1,1000,flat,73,True,2,2,good,1.0
95593562,Paseo Alameda,València,València,Camins al Grau,es,Penya-Roja,39.4546755,-0.3441045,3381,3,750,flat,68,True,1,1,good,1.0
95560332,Calle Arquitecto Alfaro s/n,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4641452,-0.335024,3705,1,1400,flat,78,True,3,1,good,0.0
95515474,Calle de Just Vilar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4674775,-0.3314689,3949,1,580,flat,70,True,3,1,good,0.0
91709217,Gran Via del Marqués del Túria,València,València,L'Eixample,es,Gran Vía,39.4660604,-0.37397369999999996,628,1,800,flat,70,False,1,1,good,1.0
95495798,Calle de Ciscar,València,València,L'Eixample,es,Gran Vía,39.4662614,-0.3662007,1090,5,1600,penthouse,94,False,2,2,good,1.0
95235390,jeronima gales,València,València,Jesús,es,L'Hort de Senabre,39.4490425,-0.3941361,2851,5,600,flat,80,True,3,1,good,1.0
89890085,"San Martín, 7",València,València,Ciutat Vella,es,Sant Francesc,39.4733586,-0.37528279999999997,299,2,850,studio,50,True,0,1,good,1.0
90132883,"Avenida de les Corts Valencianes, 46",València,València,Benicalap,es,Benicalap,39.4937972,-0.40099599999999996,3242,2,600,studio,30,True,0,1,good,1.0
89891542,"Ribera, 13",València,València,Ciutat Vella,es,Sant Francesc,39.4679602,-0.3757086,375,3,1200,studio,50,True,0,1,renew,1.0
93832407,ernesto anastacio,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4631366,-0.3336324,3846,3,700,flat,75,True,1,1,good,1.0
90132879,"Avenida de les Corts Valencianes, 46",València,València,Benicalap,es,Benicalap,39.4937972,-0.40099599999999996,3242,2,690,flat,50,True,1,1,good,1.0
39254167,Calle de la Cruz Roja,València,València,Patraix,es,Vara de Quart,39.4594224,-0.4135604,3378,2,750,duplex,65,True,1,1,good,1.0
95740814,Paseo alameda,València,València,Camins al Grau,es,Penya-Roja,39.4581423,-0.3514412,2643,3,750,flat,80,True,1,1,good,1.0
95107042,"Calle del Almirante Cadarso, 30",València,València,L'Eixample,es,Gran Vía,39.464169,-0.3674614,1141,7,650,penthouse,30,True,1,1,good,1.0
95732932,Pedro Cabanes,València,València,Rascanya,es,Torrefiel,39.4954765,-0.37523029999999996,2713,2,600,flat,80,True,2,1,good,1.0
95732721,Calle Carrícola,València,València,Jesús,es,La Creu Coberta,39.4526211,-0.3890713,2294,2,650,flat,70,True,2,1,good,1.0
95644068,"TAPINERIA, 6",València,València,Ciutat Vella,es,La Seu,39.4743092,-0.3764479,360,4,900,duplex,83,True,1,1,good,1.0
95614656,Calle de Salvador Pau s/n,València,València,Camins al Grau,es,Albors,39.4707267,-0.3535374,2034,1,850,flat,100,True,3,1,good,1.0
94437477,Calle de Xàtiva,València,València,Extramurs,es,La Roqueta,39.4690831,-0.3771617,226,5,650,flat,50,True,1,1,good,1.0
95517007,Calle Pintor Pascual Capuz,València,València,Patraix,es,Patraix,39.46215,-0.39636000000000005,1920,1,730,flat,70,True,2,2,good,1.0
94318830,Calle del mar,València,València,Ciutat Vella,es,La Xerea,39.4752634,-0.3740073,537,5,600,flat,50,True,1,1,good,1.0
95427818,Calle Arquitecto Alfaro,València,València,Poblats Marítims,es,El Grau,39.4631873,-0.3340894,3807,1,1400,flat,80,True,3,1,good,1.0
95427410,"Calle de l'Hospital, 22",València,València,Ciutat Vella,es,El Pilar,39.4710536,-0.3823374,437,3,700,flat,55,True,2,2,good,1.0
95414951,Paseo de la Alameda,València,València,Camins al Grau,es,Penya-Roja,39.4558712,-0.34271799999999997,3414,3,750,flat,67,True,1,1,good,1.0
95385238,barrio Russafa,València,València,L'Eixample,es,Russafa,39.464709,-0.3743395,755,3,725,flat,55,True,1,1,good,0.0
95166059,Carricola,València,València,Jesús,es,La Creu Coberta,39.4522742,-0.3849569,2198,2,650,flat,70,True,2,1,good,1.0
94942347,Calle de Pere Aleixandre,València,València,Quatre Carreres,es,Mont-Olivet,39.4599315,-0.3612915,1849,3,670,flat,74,True,2,1,good,1.0
93512229,Avenida del Mestre Rodrigo,València,València,Campanar,es,Sant Pau,39.4857088,-0.4049193,2876,13,895,flat,95,True,2,2,good,1.0
95756312,Av. del Cid,València,València,L'Olivereta,es,Tres Forques,39.4702215,-0.3994757,1911,4,750,flat,85,True,3,1,good,1.0
95752523,barrio Penya-Roja,València,València,Camins al Grau,es,Penya-Roja,39.4584279,-0.3525772,2544,7,1000,flat,97,True,3,2,good,1.0
95741733,Calle Pintor Peiró,València,València,El Pla del Real,es,Exposició,39.4759371,-0.36573849999999997,1122,4,900,flat,60,True,1,1,good,1.0
