propertyCode,address,province,city,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift,idCity
95694356,"Calle Santiago Rusiñol, 26",Valencia,Valencia,Rascanya,España,Els Orriols,39.4952037,-0.3666338999999999,2827,3,800,flat,85,True,3,1,good,True,1
34117979,"Avenida del doctor waksman, 35",Valencia,Valencia,Quatre Carreres,España,En Corts,39.4562873,-0.3717512,1715,10,800,flat,87,True,3,2,good,True,1
35017601,"Avenida jacinto benavente, 5",Valencia,Valencia,L'Eixample,España,Gran Vía,39.4680537,-0.3639679999999999,1188,4,1150,flat,89,True,2,2,good,True,1
95596194,Calle de la Reina,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4701981,-0.3298587,4067,2,790,flat,70,True,3,1,good,False,1
95593845,Calle de Colón,Valencia,Valencia,L'Eixample,España,El Pla del Remei,39.46955,-0.36787,822,1,1000,flat,73,True,2,2,good,True,1
95593562,Paseo Alameda,Valencia,Valencia,Camins al Grau,España,Penya-Roja,39.4546755,-0.3441045,3381,3,750,flat,68,True,1,1,good,True,1
95560332,Calle Arquitecto Alfaro s/n,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4641452,-0.335024,3705,1,1400,flat,78,True,3,1,good,False,1
95515474,Calle de Just Vilar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4674775,-0.3314689,3949,1,580,flat,70,True,3,1,good,False,1
91709217,Gran Via del Marqués del Túria,Valencia,Valencia,L'Eixample,España,Gran Vía,39.4660604,-0.3739736999999999,628,1,800,flat,70,False,1,1,good,True,1
95495798,Calle de Ciscar,Valencia,Valencia,L'Eixample,España,Gran Vía,39.4662614,-0.3662007,1090,5,1600,penthouse,94,False,2,2,good,True,1
95235390,jeronima gales,Valencia,Valencia,Jesús,España,L'Hort de Senabre,39.4490425,-0.3941361,2851,5,600,flat,80,True,3,1,good,True,1
89890085,"San Martín, 7",Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4733586,-0.3752827999999999,299,2,850,studio,50,True,0,1,good,True,1
90132883,"Avenida de les Corts Valencianes, 46",Valencia,Valencia,Benicalap,España,Benicalap,39.4937972,-0.4009959999999999,3242,2,600,studio,30,True,0,1,good,True,1
89891542,"Ribera, 13",Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4679602,-0.3757086,375,3,1200,studio,50,True,0,1,renew,True,1
93832407,ernesto anastacio,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4631366,-0.3336324,3846,3,700,flat,75,True,1,1,good,True,1
90132879,"Avenida de les Corts Valencianes, 46",Valencia,Valencia,Benicalap,España,Benicalap,39.4937972,-0.4009959999999999,3242,2,690,flat,50,True,1,1,good,True,1
39254167,Calle de la Cruz Roja,Valencia,Valencia,Patraix,España,Vara de Quart,39.4594224,-0.4135604,3378,2,750,duplex,65,True,1,1,good,True,1
95740814,Paseo alameda,Valencia,Valencia,Camins al Grau,España,Penya-Roja,39.4581423,-0.3514412,2643,3,750,flat,80,True,1,1,good,True,1
95107042,"Calle del Almirante Cadarso, 30",Valencia,Valencia,L'Eixample,España,Gran Vía,39.464169,-0.3674614,1141,7,650,penthouse,30,True,1,1,good,True,1
95732932,Pedro Cabanes,Valencia,Valencia,Rascanya,España,Torrefiel,39.4954765,-0.3752302999999999,2713,2,600,flat,80,True,2,1,good,True,1
95732721,Calle Carrícola,Valencia,Valencia,Jesús,España,La Creu Coberta,39.4526211,-0.3890713,2294,2,650,flat,70,True,2,1,good,True,1
95644068,"TAPINERIA, 6",Valencia,Valencia,Ciutat Vella,España,La Seu,39.4743092,-0.3764479,360,4,900,duplex,83,True,1,1,good,True,1
